   0.00 -85.00  0.187  -9999  -9999  -9999
   0.00 -75.00  0.198  129.1  196.3  -9999
   0.00 -65.00  0.169  198.3  195.6  -9999
   0.00 -55.00  0.158  292.7  195.3  -9999
   0.00 -45.00  0.168  267.9  195.1  -9999
   0.00 -35.00  0.159  244.6  194.3  -9999
   0.00 -25.00  0.160  251.2  195.0  -9999
   0.00 -15.00  0.186  220.5  196.4  -9999
   0.00  -5.00  0.217  186.2  198.3  -9999
   0.00   5.00  0.250  176.7  199.9  -9999
   0.00  15.00  0.253  169.1  200.5  -9999
   0.00  25.00  0.246  160.4  200.6  -9999
   0.00  35.00  0.236  162.8  200.5  -9999
   0.00  45.00  0.215  205.5  199.6  -9999
   0.00  55.00  0.175  247.1  200.2  -9999
   0.00  65.00  0.186  268.1  201.2  -9999
   0.00  75.00  0.198  460.7  -9999  -9999
   0.00  85.00  0.215  -9999  -9999  -9999
